Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,18/10/2024 08:35,Industree Group Stadium,Central Coast Mariners,Melbourne Victory,
2,1,19/10/2024 04:00,Go Media Stadium,Auckland,Brisbane Roar,
3,1,19/10/2024 06:00,McDonald Jones Stadium,Newcastle Jets,Melbourne City,
4,1,19/10/2024 08:35,CommBank Stadium,Western Sydney Wanderers,Sydney,
5,1,20/10/2024 03:00,Sky Stadium,Wellington Phoenix,Western United,
6,1,20/10/2024 05:00,Campbelltown Sports Stadium,Macarthur,Perth Glory,
7,2,25/10/2024 08:35,Campbelltown Sports Stadium,Macarthur,Newcastle Jets,
8,2,26/10/2024 06:00,Coopers Stadium,Adelaide United,Central Coast Mariners,
9,2,26/10/2024 08:35,AAMI Park,Melbourne City,Melbourne Victory,
10,2,26/10/2024 10:45,HBF Park,Perth Glory,Wellington Phoenix,
11,2,27/10/2024 03:00,Go Media Stadium,Auckland,Sydney,
12,2,27/10/2024 05:00,Ironbark Fields,Western United,Western Sydney Wanderers,
13,3,01/11/2024 08:35,Suncorp Stadium,Brisbane Roar,Sydney,
14,3,02/11/2024 04:00,Sky Stadium,Wellington Phoenix,Auckland,
15,3,02/11/2024 06:00,Industree Group Stadium,Central Coast Mariners,Perth Glory,
16,3,02/11/2024 08:35,CommBank Stadium,Western Sydney Wanderers,Adelaide United,
17,3,03/11/2024 05:00,AAMI Park,Melbourne Victory,Macarthur,
18,3,04/11/2024 08:00,TBA,Western United,Melbourne City,
19,4,08/11/2024 08:35,CommBank Stadium,Western Sydney Wanderers,Newcastle Jets,
20,4,09/11/2024 06:00,AAMI Park,Melbourne Victory,Brisbane Roar,
22,4,09/11/2024 08:35,Coopers Stadium,Adelaide United,Western United,
23,4,10/11/2024 05:00,Industree Group Stadium,Central Coast Mariners,Wellington Phoenix,
21,4,10/11/2024 07:00,Allianz Stadium,Sydney,Macarthur,
24,4,10/11/2024 09:45,HBF Park,Perth Glory,Melbourne City,
25,5,22/11/2024 06:30,Allianz Stadium,Perth Glory,Western United,
26,5,22/11/2024 09:00,Allianz Stadium,Newcastle Jets,Central Coast Mariners,
27,5,23/11/2024 06:00,Allianz Stadium,Brisbane Roar,Adelaide United,
28,5,23/11/2024 08:35,Allianz Stadium,Sydney,Western Sydney Wanderers,
29,5,24/11/2024 02:30,Allianz Stadium,Wellington Phoenix,Melbourne Victory,
30,5,24/11/2024 05:00,Allianz Stadium,Macarthur,Auckland,
31,6,29/11/2024 08:35,Coopers Stadium,Adelaide United,Perth Glory,
32,6,30/11/2024 04:00,Go Media Stadium,Auckland,Newcastle Jets,
33,6,30/11/2024 06:00,AAMI Park,Melbourne City,Western Sydney Wanderers,
34,6,30/11/2024 08:35,TBA,Western United,Melbourne Victory,
35,6,01/12/2024 06:00,Campbelltown Sports Stadium,Macarthur,Brisbane Roar,
36,7,06/12/2024 08:35,Suncorp Stadium,Brisbane Roar,Melbourne City,
37,7,07/12/2024 04:00,Go Media Stadium,Auckland,Wellington Phoenix,
38,7,07/12/2024 06:00,McDonald Jones Stadium,Newcastle Jets,Adelaide United,
39,7,07/12/2024 07:00,Ironbark Fields,Western United,Macarthur,
41,7,08/12/2024 06:00,AAMI Park,Melbourne Victory,Perth Glory,
40,7,08/12/2024 07:00,Industree Group Stadium,Central Coast Mariners,Sydney,
42,8,13/12/2024 08:35,Industree Group Stadium,Central Coast Mariners,Adelaide United,
43,8,14/12/2024 04:00,Sky Stadium,Wellington Phoenix,Macarthur,
44,8,14/12/2024 06:00,Allianz Stadium,Sydney,Western United,
45,8,14/12/2024 08:35,CommBank Stadium,Western Sydney Wanderers,Brisbane Roar,
46,8,14/12/2024 10:45,HBF Park,Perth Glory,Newcastle Jets,
47,8,15/12/2024 06:00,AAMI Park,Melbourne City,Auckland,
48,9,20/12/2024 08:35,Coopers Stadium,Adelaide United,Sydney,
49,9,21/12/2024 04:00,Go Media Stadium,Auckland,Western United,
50,9,21/12/2024 06:00,Suncorp Stadium,Brisbane Roar,Perth Glory,
51,9,21/12/2024 08:35,AAMI Park,Melbourne Victory,Melbourne City,
52,9,22/12/2024 06:00,CommBank Stadium,Western Sydney Wanderers,Wellington Phoenix,
53,9,23/12/2024 08:00,Campbelltown Sports Stadium,Macarthur,Central Coast Mariners,
54,10,27/12/2024 08:35,Coopers Stadium,Adelaide United,Western Sydney Wanderers,
55,10,27/12/2024 11:45,HBF Park,Perth Glory,Macarthur,
56,10,28/12/2024 04:00,Sky Stadium,Wellington Phoenix,Newcastle Jets,
57,10,28/12/2024 06:00,Industree Group Stadium,Central Coast Mariners,Auckland,
58,10,28/12/2024 08:35,Allianz Stadium,Sydney,Melbourne Victory,
59,10,29/12/2024 06:00,Ironbark Fields,Western United,Brisbane Roar,
60,11,31/12/2024 08:00,Industree Group Stadium,Central Coast Mariners,Melbourne City,
61,11,01/01/2025 04:00,Go Media Stadium,Auckland,Melbourne Victory,
62,11,01/01/2025 07:00,CommBank Stadium,Western Sydney Wanderers,Macarthur,
70,11,07/01/2025 09:00,Suncorp Stadium,Brisbane Roar,Newcastle Jets,
71,11,08/01/2025 08:00,Allianz Stadium,Sydney,Perth Glory,
63,12,03/01/2025 06:00,AAMI Park,Melbourne City,Wellington Phoenix,
64,12,03/01/2025 08:35,Suncorp Stadium,Brisbane Roar,Central Coast Mariners,
65,12,03/01/2025 10:45,HBF Park,Perth Glory,Western United,
66,12,04/01/2025 06:00,McDonald Jones Stadium,Newcastle Jets,Sydney,
67,12,04/01/2025 08:35,AAMI Park,Melbourne Victory,Western Sydney Wanderers,
68,12,06/01/2025 08:00,Campbelltown Sports Stadium,Macarthur,Adelaide United,
72,13,10/01/2025 08:35,AAMI Park,Melbourne Victory,Western United,
73,13,11/01/2025 04:00,Sky Stadium,Wellington Phoenix,Adelaide United,
74,13,11/01/2025 06:00,AAMI Park,Melbourne City,Brisbane Roar,
75,13,11/01/2025 08:35,Allianz Stadium,Sydney,Central Coast Mariners,
76,13,11/01/2025 10:45,HBF Park,Perth Glory,Auckland,
77,13,12/01/2025 06:00,McDonald Jones Stadium,Newcastle Jets,Macarthur,
78,14,14/01/2025 10:45,HBF Park,Perth Glory,Western Sydney Wanderers,
79,14,15/01/2025 06:00,Sky Stadium,Wellington Phoenix,Sydney,
86,14,22/01/2025 08:30,Coopers Stadium,Adelaide United,Auckland,
93,14,29/01/2025 08:00,Ironbark Fields,Western United,Central Coast Mariners,
127,14,12/03/2025 08:00,AAMI Park,Melbourne City,Newcastle Jets,
83,15,17/01/2025 06:00,Ironbark Fields,Western United,Newcastle Jets,
80,15,17/01/2025 08:35,CommBank Stadium,Western Sydney Wanderers,Central Coast Mariners,
81,15,18/01/2025 04:00,Go Media Stadium,Auckland,Melbourne City,
82,15,18/01/2025 06:00,Allianz Stadium,Sydney,Brisbane Roar,
84,15,18/01/2025 08:35,Coopers Stadium,Adelaide United,Melbourne Victory,
85,15,20/01/2025 08:00,Campbelltown Sports Stadium,Macarthur,Wellington Phoenix,
89,16,22/01/2025 09:00,Suncorp Stadium,Brisbane Roar,Adelaide United,
87,16,24/01/2025 08:35,AAMI Park,Melbourne Victory,Sydney,
88,16,25/01/2025 04:00,Apollo Projects Stadium,Wellington Phoenix,Central Coast Mariners,
90,16,25/01/2025 06:00,McDonald Jones Stadium,Newcastle Jets,Perth Glory,
91,16,25/01/2025 08:35,Campbelltown Sports Stadium,Macarthur,Melbourne City,
92,16,26/01/2025 06:00,CommBank Stadium,Western Sydney Wanderers,Auckland,
69,17,07/01/2025 07:00,AAMI Park,Melbourne City,Western United,
94,17,31/01/2025 08:35,Suncorp Stadium,Brisbane Roar,Western Sydney Wanderers,
95,17,01/02/2025 04:00,Go Media Stadium,Auckland,Macarthur,
96,17,01/02/2025 06:00,Allianz Stadium,Sydney,Adelaide United,
97,17,01/02/2025 08:35,Industree Group Stadium,Central Coast Mariners,Newcastle Jets,
98,17,01/02/2025 10:45,HBF Park,Perth Glory,Melbourne Victory,
99,18,06/02/2025 04:00,Sky Stadium,Wellington Phoenix,Brisbane Roar,
100,18,07/02/2025 08:35,Coopers Stadium,Adelaide United,Melbourne City,
101,18,07/02/2025 10:45,HBF Park,Perth Glory,Central Coast Mariners,
102,18,08/02/2025 06:00,McDonald Jones Stadium,Newcastle Jets,Melbourne Victory,
103,18,08/02/2025 08:35,Allianz Stadium,Sydney,Western Sydney Wanderers,
104,18,09/02/2025 06:00,Campbelltown Sports Stadium,Macarthur,Western United,
105,19,14/02/2025 08:35,AAMI Park,Melbourne Victory,Wellington Phoenix,
106,19,15/02/2025 06:00,AAMI Park,Melbourne City,Perth Glory,
107,19,15/02/2025 07:00,Ironbark Fields,Western United,Auckland,
